"date","open","high","low","close","adj_close","volume"
20140707,94.139999,95.989998,94.099998,95.970001,87.958870,56468000
20140708,96.269997,96.800003,93.919998,95.349998,87.390602,65222000
20140709,95.440002,95.949997,94.760002,95.389999,87.427269,36436000
20140710,93.760002,95.550003,93.519997,95.040001,87.106491,39686000
20140711,95.360001,95.889999,94.860001,95.220001,87.271454,34018000
20140714,95.860001,96.889999,95.650002,96.449997,88.398788,42810000
20140715,96.800003,96.849998,95.029999,95.320000,87.363113,45477900
20140716,96.970001,97.099998,94.739998,94.779999,86.868187,53396300
20140717,95.029999,95.279999,92.570000,93.089996,85.319267,57298000
20140718,93.620003,94.739998,93.019997,94.430000,86.547401,49988000
20140721,94.989998,95.000000,93.720001,93.940002,86.098305,39079000
20140722,94.680000,94.889999,94.120003,94.720001,86.813194,55197000
20140723,95.419998,97.879997,95.169998,97.190002,89.077019,92918000
20140724,97.040001,97.320000,96.419998,97.029999,88.930374,45729000
20140725,96.849998,97.839996,96.639999,97.669998,89.516945,43469000
20140728,97.820000,99.239998,97.550003,99.019997,90.754242,55318000
20140729,99.330002,99.440002,98.250000,98.379997,90.167679,43143000
20140730,98.440002,98.699997,97.669998,98.150002,89.956863,33010000
20140731,97.160004,97.449997,95.330002,95.599998,87.619743,56843000
20140801,94.900002,96.620003,94.809998,96.129997,88.105499,48511000
20140804,96.370003,96.580002,95.169998,95.589996,87.610580,39958000
20140805,95.360001,95.680000,94.360001,95.120003,87.179810,55933000
20140806,94.750000,95.480003,94.709999,94.959999,87.033173,38558000
20140807,94.930000,95.949997,94.099998,94.480003,87.023979,46711000
20140808,94.260002,94.820000,93.279999,94.739998,87.263443,41865000
20140811,95.269997,96.080002,94.839996,95.989998,88.414787,36585000
20140812,96.040001,96.879997,95.610001,95.970001,88.396378,33795000
20140813,96.150002,97.239998,96.040001,97.239998,89.566154,31916000
20140814,97.330002,97.570000,96.800003,97.500000,89.805611,28116000
20140815,97.900002,98.190002,96.860001,97.980003,90.247765,48951000
20140818,98.489998,99.370003,97.980003,99.160004,91.334633,47572000
20140819,99.410004,100.680000,99.320000,100.529999,92.596512,69399000
20140820,100.440002,101.089996,99.949997,100.570000,92.633347,52699000
20140821,100.570000,100.940002,100.110001,100.580002,92.642563,33478000
20140822,100.290001,101.470001,100.190002,101.320000,93.324173,44184000
20140825,101.790001,102.169998,101.279999,101.540001,93.526787,40270000
20140826,101.419998,101.500000,100.860001,100.889999,92.928085,33152000
20140827,101.019997,102.570000,100.699997,102.129997,94.070236,52369000
20140828,101.589996,102.779999,101.559998,102.250000,94.180771,68460000
20140829,102.860001,102.900002,102.199997,102.500000,94.411041,44595000
20140902,103.059998,103.739998,102.720001,103.300003,95.147903,53564000
20140903,103.099998,103.199997,98.580002,98.940002,91.131973,125421000
20140904,98.849998,100.089996,97.790001,98.120003,90.376709,85718000
20140905,98.800003,99.389999,98.309998,98.970001,91.159615,58457000
20140908,99.300003,99.309998,98.050003,98.360001,90.597771,46356700
20140909,99.080002,103.080002,96.139999,97.989998,90.256966,189846300
20140910,98.010002,101.110001,97.760002,101.000000,93.029419,100869600
20140911,100.410004,101.440002,99.620003,101.430000,93.425491,62353100
20140912,101.209999,102.190002,101.080002,101.660004,93.637337,62626100
20140915,102.809998,103.050003,101.440002,101.629997,93.609688,61316500
20140916,99.800003,101.260002,98.889999,100.860001,92.900459,66908100
20140917,101.269997,101.800003,100.589996,101.580002,93.563652,60926500
20140918,101.930000,102.349998,101.559998,101.790001,93.757080,37299400
20140919,102.290001,102.349998,100.500000,100.959999,92.992592,70902400
20140922,101.800003,102.139999,100.580002,101.059998,93.084694,52788400
20140923,100.599998,102.940002,100.540001,102.639999,94.539993,63402200
20140924,102.160004,102.849998,101.199997,101.750000,93.720238,60171800
20140925,100.510002,100.709999,97.720001,97.870003,90.146439,100092000
20140926,98.529999,100.750000,98.400002,100.750000,92.799133,62370500
20140929,98.650002,100.440002,98.629997,100.110001,92.209648,49766300
20140930,100.809998,101.540001,100.529999,100.750000,92.799133,55264100
20141001,100.589996,100.690002,98.699997,99.180000,91.353058,51491300
